ID,year,region,wine,beer,vodka,champagne,brandy
1,2000,Republic of Adygea,3.1,27.4,5.4,0.6,0.1
2,2000,Altai Krai,2.1,33.2,9.9,1.3,0.1
3,2000,Amur Oblast,2.4,28.5,15.8,0.7,0.2
4,2000,Arkhangelsk Oblast,5.5,29.3,19.2,0.9,0.5
5,2000,Astrakhan Oblast,3.7,31,10,0.6,0.1
6,2000,Republic of Bashkortostan,1.4,33.1,12.2,0.2,0.2
7,2000,Belgorod Oblast,3.6,20.7,10.1,0.9,0.1
8,2000,Bryansk Oblast,3,36.4,7.6,0.4,0.1
9,2000,Republic of Buryatia,1.6,17.1,16.6,0.6,0.03
10,2000,Vladimir Oblast,2.3,22.1,14.5,0.5,0.1
11,2000,Volgograd Oblast,1.8,40.9,9,1.9,0.3
12,2000,Vologda Oblast,3.7,33.2,19.2,0.5,0.2
13,2000,Voronezh Oblast,3.4,24.8,9.1,1.2,0.2
14,2000,Republic of Dagestan,3.8,1.8,1,0.2,0.1
15,2000,Jewish Autonomous Oblast,4.8,13.4,12.2,0.5,0.1
16,2000,Zabaykalsky Krai,1.9,16.4,7,0.3,0.1
17,2000,Ivanovo Oblast,2.5,47.5,14.2,0.2,0.1
18,2000,Republic of Ingushetia,,,,,
19,2000,Irkutsk Oblast,6,39.4,15.5,1.3,0.5
20,2000,Kabardino-Balkar Republic,2.5,17.3,10.5,0.6,0.4
21,2000,Kaliningrad Oblast,3.2,38.4,15.8,1.3,0.8
22,2000,Republic of Kalmykia,3.2,9.1,14.2,0.9,0.1
23,2000,Kaluga Oblast,2.2,30.4,9,0.6,0.2
24,2000,Kamchatka Krai,7.1,32.7,26.6,0.8,0.4
25,2000,Karachay-Cherkess Republic,2.2,7.4,12.9,0.2,0.1
26,2000,Republic of Karelia,2.8,24.9,17.2,0.4,0.2
27,2000,Kemerovo Oblast,2.3,26.6,17.3,0.6,0.2
28,2000,Kirov Oblast,1.8,15.5,12.8,0.3,0.1
29,2000,Kostroma Oblast,1.3,24,15.2,0.3,0.1
30,2000,Krasnodar Krai,7,42.6,8.7,1.4,0.3
31,2000,Krasnoyarsk Krai,4.7,40.5,14.9,1.6,0.3
32,2000,Republic of Crimea,,,,,
33,2000,Kurgan Oblast,2.9,26.6,13,0.6,0.1
34,2000,Kursk Oblast,1.6,33,6.1,0.5,0.1
35,2000,Leningrad Oblast,3.8,37.7,14.7,1.3,0.3
36,2000,Lipetsk Oblast,2.3,31.9,9.3,0.7,0.2
37,2000,Magadan Oblast,4.3,24.6,23.9,1.8,0.2
38,2000,Mari El Republic,1.8,21,8.3,0.3,0.1
39,2000,Republic of Mordovia,1.4,15.9,10.9,0.3,0.1
40,2000,Moscow,6.3,61.8,18.8,3.9,0.6
41,2000,Moscow Oblast,3.1,22.6,17.2,0.6,0.3
42,2000,Murmansk Oblast,4.4,29.9,18.8,1.7,0.6
43,2000,Nenets Autonomous Okrug,5.5,29.3,19.2,0.9,0.5
44,2000,Nizhny Novgorod Oblast,3.9,27.3,9.7,1,0.1
45,2000,Novgorod Oblast,4.6,39.8,12.8,0.4,0.2
46,2000,Novosibirsk Oblast,2.6,37.3,20.7,1.6,0.2
47,2000,Omsk Oblast,4.6,41.5,10.3,0.6,0.3
48,2000,Orenburg Oblast,1.6,31.5,9.5,0.7,0.1
49,2000,Oryol Oblast,3.2,31.1,14.8,1.2,0.4
50,2000,Penza Oblast,1.8,27,6.4,0.3,0.1
51,2000,Perm Krai,4.1,30.7,20,1.3,0.3
52,2000,Primorsky Krai,1.8,25.1,15,0.6,0.2
53,2000,Pskov Oblast,7.1,22,12.9,0.5,0.1
54,2000,Altai Republic,5.4,12.1,9.8,0.7,0.1
55,2000,Komi Republic,4.6,35.1,27.4,1.9,0.4
