ID,year,region,npg,birth_rate,death_rate,gdw,urbanization
1,2000,Republic of Adygea,-5.9,9.1,15,78.59,52.86
2,2000,Altai Krai,-5,9.3,14.3,67.35,52.77
3,2000,Amur Oblast,-4.4,10.2,14.6,61.13,66.46
4,2000,Arkhangelsk Oblast,-7.5,8.8,16.3,63.71,74.74
5,2000,Astrakhan Oblast,-4.4,9.9,14.3,69.14,67.88
6,2000,Republic of Bashkortostan,-2.9,10.1,13,75.44,64.08
7,2000,Belgorod Oblast,-7.5,8,15.5,75.92,65.06
8,2000,Bryansk Oblast,-10.4,7.8,18.2,78.74,68.39
9,2000,Republic of Buryatia,-1.5,11.6,13.1,67.04,59.73
10,2000,Vladimir Oblast,-11.5,7.6,19.1,72.29,79.85
11,2000,Volgograd Oblast,-7,8.2,15.2,71.51,74.81
12,2000,Vologda Oblast,-7.2,8.8,16,70.98,68.72
13,2000,Voronezh Oblast,-10.3,7.6,17.9,78.69,61.44
14,2000,Republic of Dagestan,9,15.5,6.5,82.57,42.57
15,2000,Jewish Autonomous Oblast,-4.8,9.7,14.5,62.58,66.92
16,2000,Zabaykalsky Krai,-2.7,11.8,14.5,66.32,63.6
17,2000,Ivanovo Oblast,-13.6,7.2,20.8,74.18,82.46
18,2000,Republic of Ingushetia,16.1,21.5,5.4,85.12,42.87
19,2000,Irkutsk Oblast,-4.8,10.7,15.5,66.07,79.64
20,2000,Kabardino-Balkar Republic,0.4,10.4,10,72.65,56.64
21,2000,Kaliningrad Oblast,-7.3,7.9,15.2,62.7,77.63
22,2000,Republic of Kalmykia,0.1,11.3,11.2,71.92,41.37
23,2000,Kaluga Oblast,-10.7,7.4,18.1,71.63,74.41
24,2000,Kamchatka Krai,-1.7,9.3,11,45.85,80.85
25,2000,Karachay-Cherkess Republic,-0.7,10.6,11.3,77.18,43.78
26,2000,Republic of Karelia,-7.8,8.7,16.5,64.19,74.26
27,2000,Kemerovo Oblast,-7.7,9,16.7,66.32,86.48
28,2000,Kirov Oblast,-8.7,8.1,16.8,71.62,70.89
29,2000,Kostroma Oblast,-10.8,8.1,18.9,75.21,66.56
30,2000,Krasnodar Krai,-6.3,8.9,15.2,75.15,53.71
31,2000,Krasnoyarsk Krai,-5.5,9.3,14.8,62.42,75.11
32,2000,Republic of Crimea,,,,,
33,2000,Kurgan Oblast,-6.7,9.6,16.3,74.09,56.21
34,2000,Kursk Oblast,-10.4,8.2,18.6,78.77,60.51
35,2000,Leningrad Oblast,-12.1,6.7,18.8,72.49,66.31
36,2000,Lipetsk Oblast,-8.7,7.8,16.5,74.38,63.98
37,2000,Magadan Oblast,-2.1,9.7,11.8,44.24,90.79
38,2000,Mari El Republic,-5.8,9.1,14.9,69.55,63.09
39,2000,Republic of Mordovia,-8.4,7.8,16.2,71.69,59.35
40,2000,Moscow,-5.8,7.3,13.1,57.83,100
41,2000,Moscow Oblast,-9.8,7.2,17,67.34,79.5
42,2000,Murmansk Oblast,-3,8.6,11.6,48.52,92.22
43,2000,Nenets Autonomous Okrug,0.3,13.2,12.9,59.86,62.15
44,2000,Nizhny Novgorod Oblast,-10.4,7.7,18.1,73.48,77.86
45,2000,Novgorod Oblast,-12.6,7.5,20.1,75.45,69.52
46,2000,Novosibirsk Oblast,-5.7,8.5,14.2,65.92,74.63
47,2000,Omsk Oblast,-4.9,8.6,13.5,67.68,68.19
48,2000,Orenburg Oblast,-4.7,9.7,14.4,71.14,57.54
49,2000,Oryol Oblast,-9.8,7.9,17.7,75.14,63
50,2000,Penza Oblast,-9.5,7.5,17,72.35,64.6
51,2000,Perm Krai,-6.5,9.7,16.2,68.11,75.6
52,2000,Primorsky Krai,-5.3,8.6,13.9,58.18,77.71
53,2000,Pskov Oblast,-14.9,7.4,22.3,77.06,65.38
54,2000,Altai Republic,1.3,14.3,13,73.08,25.76
55,2000,Komi Republic,-3.5,9.4,12.9,56.05,75.46
56,2000,Tuva Republic,2.3,15.9,13.6,75.16,49.8
57,2000,Rostov Oblast,-7.2,8,15.2,72.55,67.61
58,2000,Ryazan Oblast,-12.3,7,19.3,77.49,68.24
59,2000,Samara Oblast,-8.5,7.9,16.4,65.83,80.53
60,2000,Saint Petersburg,-9.4,6.8,16.2,64.09,100
61,2000,Saratov Oblast,-8.3,8.1,16.4,70.45,73.23
62,2000,Sakhalin Oblast,-4.2,9.2,13.4,52.96,86.49
63,2000,Sverdlovsk Oblast,-8.2,8.4,16.6,66.89,87.74
64,2000,Sevastopol,,,,,
65,2000,Republic of North Ossetia-Alania,-2,10.3,12.3,77.5,66.79
66,2000,Smolensk Oblast,-13,7,20,72.49,70.24
67,2000,Stavropol Krai,-4.6,9,13.6,75.17,55.9
68,2000,Tambov Oblast,-11,8,19,78.47,57.13
69,2000,Republic of Tatarstan,-3.7,9.4,13.1,72.26,73.59
